State,City,Station,Format
Florida,Jacksonville,WQIK-HD2 - Rumba 106.9 - Spanish tropical,Unknown Format
Florida,Orlando/Daytona Beach,WOKB,WOKB 1680 AM
Florida,Orlando/Daytona Beach,WCFB,Star 94.5
Florida,Orlando/Daytona Beach,WTKS-HD2 ,104.5 The Beat
Florida,Orlando/Daytona Beach,"WPOZ-HD3 - ""G-Praise 106.3/93.3"" — Urban contemporary gospel",Unknown Format
Florida,Orlando/Daytona Beach,WPOZ-HD2 -  Hot 95.9 — Christian Hip Hop,Unknown Format
Florida,Orlando/Daytona Beach,WHPB-LP - 98.5 The Wire - Urban Contemporary/Community Radio,Unknown Format
Florida,Orlando/Daytona Beach,WHOG HD-2 - Hot 94.1 - Urban Contemporary (Daytona Beach),Unknown Format
Florida,Orlando/Daytona Beach,WRWS-LP - Urban contemporary,Unknown Format
Florida,Orlando/Daytona Beach,WURB-LP - Urbana 92.7 - Spanish urban,Unknown Format
Florida,Orlando/Daytona Beach,WFYY - Fly 103.1 - Rhythmic contemporary,Unknown Format
Florida,Orlando/Daytona Beach,"WRUM - Rumba 100.3 - Latin pop/Reggaeton/Tropical music
WRUM-HD2 - Mega 97.1 - Spanish CHR",Unknown Format
Florida,Orlando/Daytona Beach,WRUM-HD2 - Mega 97.1 - Spanish CHR,Unknown Format
Florida,Orlando/Daytona Beach,WPYO - El Zol 95.3 - Spanish tropical,Unknown Format
Florida,Orlando/Daytona Beach,WOEX - Exitos 96.5 - Spanish CHR,Unknown Format
Florida,West Palm Beach,WMBX,X102.3
Florida,West Palm Beach,WLLY HD-3 - Yo 107.1 - Classic Hip Hop,Unknown Format
Florida,West Palm Beach,WZZR HD-2 - Jam'n 93.3 - Classic Hip Hop,Unknown Format
Florida,West Palm Beach,WRLX - Mia 94.3 - Spanish CHR,Unknown Format
Florida,West Palm Beach,WFLM,104.7 The Flame
Florida,Fort Myers/Naples,WZKO - 1350/107.5 Jamz - Urban Adult Contemporary,Unknown Format
Florida,Fort Myers/Naples,WBTT,105.5 the Beat
Florida,Fort Myers/Naples,WFFY - Fly 98.5 - Rhythmic Contemporary/Hip-Hop,Unknown Format
Florida,Fort Myers/Naples,WOKE-LP - 94.9 The City - Urban Contemporary,Unknown Format
Florida,Fort Myers/Naples,WXKB HD-2 - 96.5 & 101.5 The Bounce - Classic Hip Hop,Unknown Format
Florida,Fort Myers/Naples,WHEL - 93.7 Latino - Spanish CHR,Unknown Format
Florida,Fort Myers/Naples,WWCN - Playa 99.3 - Spanish tropical,Unknown Format
Florida,Pensacola,WRNE,Choice 106.9 & AM 980
Florida,Pensacola,WNVY,1090AM the Light
Florida,Pensacola,WBLX-FM,93BLX
Florida,Pensacola,WRRX,Magic 106.1
Florida,Pensacola,WRGV - 107.3 The Beat - Mainstream urban,Unknown Format
Florida,Pensacola,WMEZ - Hot 94.1 - Rhythmic Contemporary,Unknown Format
Florida,Tallahassee,WSTT,AM 730 - Urban contemporary gospel
Florida,Tallahassee,WHBX,96.1 Jamz
Florida,Tallahassee,WWLD,Blazin' 102.3
Florida,Tallahassee,WANM - The Flava Station 90.5 - Urban Contemporary/College Radio,Unknown Format
Florida,Tallahassee,WWLD HD-2 - Heaven 98.3 - Urban Gospel,Unknown Format
Florida,Tallahassee,WGMY HD-2 - 105.3 The Beat - Mainstream urban,Unknown Format
Florida,Tallahassee,WGMY HD-3 - Tallahassee's BIN 100.3 - Black-oriented news,Unknown Format
Florida,Tallahassee,WQTL - Vibe 106.1 - Rhythmic Adult Contemporary,Unknown Format
Florida,Panama City,WEBZ,99.3 The Beat
Florida,Gainesville,WTMG,Magic 101.3
Florida,Gainesville,WAJD - 98.9 Jamz - Urban contemporary,Unknown Format
Florida,Gainesville,WDVH - R&B 94.1 - Urban oldies-leaning urban adult contemporary,Unknown Format
Florida,Gainesville,WKTK-HD2/WRBD/WMOP - Power 92.1 - Urban contemporary,Unknown Format
Florida,Vero Beach/Fort Pierce,WQCP - Q-91.1 - Urban Adult Contemporary,Unknown Format
Florida,Cocoa Beach,WRRJ - Reggae,Unknown Format
Florida,Lakeland/Winter Haven,WSIR - Family Radio 1490 - Urban Gospel,Unknown Format
Florida,Lake City,WUAF-LP - Angel 107.9 - Gospel,Unknown Format
Georgia,Atlanta,WAOK,News/Talk 1380 WAOK - Urban News/Talk
Georgia,Atlanta,WPZE,Praise 102.5
Georgia,Atlanta,WAMJ/WUMJ,Majic 107.5/97.5
Georgia,Atlanta,WALR-FM,Kiss 104.1
Georgia,Atlanta,WHTA,Hot 107.9
Georgia,Atlanta,WRDG - 96.1 The Beat - Urban contemporary,Unknown Format
Georgia,Atlanta,W233BF WIPK WFDR-FM WWSZ,Streetz 94.5
Georgia,Atlanta,WVEE,V-103
Georgia,Atlanta,W275BK,Classix 102.9
Georgia,Atlanta,W250BC,OG 97.9
Georgia,Atlanta,WSTR - Star 94 - Rhythmic Adult Contemporary,Unknown Format
Georgia,Atlanta,WBIN - Atlanta's BIN 640 - Black-oriented news,Unknown Format
Georgia,Atlanta,"WYKG - 105.5 FM/AM 1430 The King - Urban Oldies, Classic Hip-Hop",Unknown Format
Georgia,Atlanta,WBZY - Z105.7 - Spanish CHR,Unknown Format
Georgia,Atlanta,WXJO - My City 104.5 - Urban Gospel,Unknown Format
Georgia,Atlanta,WIGO - Pacesetter 1570 AM -  Urban adult contemporary,Unknown Format
