State,City,Station,Format,City Match,State Match,FCC URL,HTTP Status Code
District of Columbia,Washington,WHUR,96.3 WHUR,Yes,No,https://publicfiles.fcc.gov/fm-profile/WHUR-FM/rss,200
District of Columbia,Washington,WKYS,93.9 WKYS,Yes,No,https://publicfiles.fcc.gov/fm-profile/WKYS/rss,200
District of Columbia,Washington,WMMJ/WDCJ,Majic 102.3/92.7,No,No,https://publicfiles.fcc.gov/fm-profile/WMMJ/rss,200
District of Columbia,Washington,WPGC-FM,WPGC 95.5,No,No,https://publicfiles.fcc.gov/fm-profile/WPGC-FM/rss,200
District of Columbia,Washington,WUST/WMZQ-HD2 - DMV's BIN 1120 - Black-oriented news,Unknown Format,Yes,No,https://publicfiles.fcc.gov/am-profile/WUST/rss,200
District of Columbia,Washington,WLZL - El Zol 107.9 - Bilingual Rhythmic CHR,Unknown Format,No,No,https://publicfiles.fcc.gov/fm-profile/WLZL/rss,200
Florida,Miami/Fort Lauderdale,WMBM,1490 - Urban contemporary gospel,No,Yes,https://publicfiles.fcc.gov/am-profile/WMBM/rss,200
Florida,Miami/Fort Lauderdale,WMIB,103.5 The Beat,No,Yes,https://publicfiles.fcc.gov/fm-profile/WMIB/rss,200
Florida,Miami/Fort Lauderdale,WEDR,99 Jamz,No,Yes,https://publicfiles.fcc.gov/fm-profile/WEDR/rss,200
Florida,Miami/Fort Lauderdale,WHQT,Hot 105,No,Yes,https://publicfiles.fcc.gov/fm-profile/WHQT/rss,200
Florida,Miami/Fort Lauderdale,WXBN - Miami's BIN 880 - Black-oriented news,Unknown Format,No,Yes,https://publicfiles.fcc.gov/am-profile/WXBN/rss,200
Florida,Miami/Fort Lauderdale,WEXY - AM 1520 - Urban contemporary gospel/Brokered programming,Unknown Format,No,No,https://publicfiles.fcc.gov/am-profile/WEXY/rss,200
Florida,Miami/Fort Lauderdale,WPOW - POWER 96 - Rhythmic Adult Contemporary,Unknown Format,No,Yes,https://publicfiles.fcc.gov/fm-profile/WPOW/rss,200
Florida,Miami/Fort Lauderdale,WZTU - Tu 94.9 - Spanish Top 40,Unknown Format,No,Yes,https://publicfiles.fcc.gov/fm-profile/WZTU/rss,200
Florida,Miami/Fort Lauderdale,WRMA - Ritmo 95.7 - Cubatón,Unknown Format,No,Yes,https://publicfiles.fcc.gov/fm-profile/WRMA/rss,200
Florida,Miami/Fort Lauderdale,WRTO-FM - Mix 98.3 - Spanish tropical,Unknown Format,No,No,https://publicfiles.fcc.gov/am-profile/WRTO/rss,200
Florida,Miami/Fort Lauderdale,WXDJ - El Zol 106.7 - Spanish CHR,Unknown Format,No,Yes,https://publicfiles.fcc.gov/fm-profile/WXDJ/rss,200
Florida,Tampa Bay Area,WBTP,95.7 The Beat,No,Yes,https://publicfiles.fcc.gov/fm-profile/WBTP/rss,200
Florida,Tampa Bay Area,WLLD,Wild 94.1,No,Yes,https://publicfiles.fcc.gov/fm-profile/WLLD/rss,200
Florida,Tampa Bay Area,WTMP - 1150 AM & 102.1 FM WTMP - Urban oldies,Unknown Format,No,Yes,https://publicfiles.fcc.gov/am-profile/WTMP/rss,200
Florida,Tampa Bay Area,WTBV - 101.5 The Vibe - Urban Adult Contemporary,Unknown Format,No,Yes,https://publicfiles.fcc.gov/fm-profile/WTBV/rss,200
Florida,Tampa Bay Area,"WMNF HD-2 - The Urban Cafe 88.5 HD-2 - R&B, Neo-Soul, Classic Hip Hop, Variety",Unknown Format,No,No,https://publicfiles.fcc.gov/fm-profile/WMNF/rss,200
Florida,Jacksonville,WZAZ,Gospel 1400 the Light,Yes,Yes,https://publicfiles.fcc.gov/am-profile/WZAZ/rss,200
Florida,Jacksonville,WJBT,93.3 The Beat Jamz,No,Yes,https://publicfiles.fcc.gov/fm-profile/WJBT/rss,200
Florida,Jacksonville,WSOL-FM,V-101.5,No,No,https://publicfiles.fcc.gov/am-profile/WSOL/rss,200
Florida,Jacksonville,WCGL,The Victory Station AM 1360 & 94.7 - Urban contemporary gospel,Yes,Yes,https://publicfiles.fcc.gov/am-profile/WCGL/rss,200
Florida,Jacksonville,WJGL-HD2,Power 106.1 - Urban contemporary,Yes,Yes,https://publicfiles.fcc.gov/fm-profile/WJGL/rss,200
Florida,Jacksonville,WJNJ,Pure Radio 1320 & 103.7 - Urban contemporary gospel,Yes,Yes,https://publicfiles.fcc.gov/am-profile/WJNJ/rss,200
Florida,Jacksonville,WHJX - Hot 106.5 - Urban Adult Contemporary,Unknown Format,No,Yes,https://publicfiles.fcc.gov/fm-profile/WHJX/rss,200
Florida,Jacksonville,WKSL HD-3 - Praise 107.9 - Urban contemporary gospel,Unknown Format,No,No,https://publicfiles.fcc.gov/fm-profile/WKSL/rss,200
Florida,Jacksonville,WYKB - Flow 105.3 - Spanish rhythmic,Unknown Format,No,Yes,https://publicfiles.fcc.gov/fm-profile/WYKB/rss,200
Florida,Jacksonville,WEWC/WJXR - Latina 92.1 - Spanish tropical,Unknown Format,No,Yes,https://publicfiles.fcc.gov/am-profile/WEWC/rss,200
